# raw CPAP telemetry
# telem on
T,1079877,8.10,-0.86,19160
T,1079897,8.09,-0.69,19161
T,1079917,8.19,-0.69,19150
T,1079937,8.13,-0.68,19150
T,1079957,8.12,-0.79,19155
T,1079977,8.08,-0.45,19162
T,1079997,8.16,-0.31,19150
T,1080017,8.06,-0.34,19161
T,1080037,8.08,-0.66,19155
T,1080057,8.06,-1.10,19152
T,1080077,8.16,-0.92,19150
T,1080097,8.05,-1.21,19157
T,1080117,8.23,-1.22,19146
T,1080137,8.14,-1.48,19145
T,1080157,8.04,-1.68,19158
T,1080177,8.04,-1.60,19158
T,1080197,8.11,-1.60,19150
T,1080217,8.14,-1.01,19152
T,1080237,8.11,-1.01,19151
T,1080257,8.14,-0.86,19154
T,1080277,8.12,-0.92,19150
T,1080297,8.19,-0.68,19149
T,1080317,8.11,-0.22,19156
T,1080337,8.06,-0.25,19157
T,1080357,8.08,-0.41,19154
T,1080377,8.05,-0.50,19159
T,1080397,8.10,-0.44,19156
T,1080417,8.05,-0.85,19151
T,1080437,8.08,-0.80,19155
T,1080457,8.07,-1.02,19157
T,1080477,8.13,-1.13,19147
T,1080497,8.19,-1.46,19139
T,1080517,8.10,-0.94,19158
T,1080537,8.10,-0.63,19152
T,1080557,8.04,-0.34,19158
T,1080577,8.18,-0.42,19140
T,1080597,8.14,-0.76,19146
T,1080617,8.07,-0.64,19152
T,1080637,8.09,-1.03,19149
T,1080657,8.09,-0.69,19151
T,1080677,8.13,-0.70,19149
T,1080697,8.13,-0.58,19148
T,1080717,8.15,-0.69,19145
T,1080737,8.08,-0.57,19154
T,1080757,8.04,-0.59,19154
T,1080777,8.15,-0.71,19139
T,1080797,8.12,-0.07,19151
T,1080817,8.14,-0.11,19146
T,1080837,8.12,0.13,19153
T,1080857,8.14,0.17,19149
T,1080877,8.12,-0.11,19147
T,1080897,8.22,-0.02,19145
T,1080917,8.11,-0.38,19149
T,1080937,8.15,-0.82,19144
T,1080957,8.11,-1.42,19148
T,1080977,8.08,-1.26,19152
T,1080997,8.14,-1.34,19142
