# raw CPAP telemetry
T,491157,7.84,-1.47,0
T,491177,7.76,-1.53,0
T,491197,7.82,-0.08,0
T,491217,7.75,-0.79,0
T,491237,7.86,0.06,0
T,491257,7.79,-0.27,0
T,491277,7.86,-0.40,0
T,491297,7.74,-0.91,0
T,491317,7.78,-0.50,0
T,491337,7.79,-1.35,0
T,491357,7.75,-2.11,0
T,491377,7.80,-2.84,0
T,491397,7.87,-3.19,0
T,491417,7.75,-3.48,0
T,491437,7.85,-3.35,0
T,491457,7.74,-3.19,0
T,491477,7.78,-3.88,0
T,491497,7.82,-3.85,0
T,491517,7.79,-3.32,0
T,491537,7.89,-2.97,0
T,491557,7.77,-1.30,0
T,491577,7.76,-0.84,0
T,491597,7.83,-0.31,0
T,491617,7.81,-0.74,0
T,491637,7.81,-1.41,0
T,491657,7.76,-1.56,0
T,491677,7.86,-1.83,0
T,491697,7.75,-1.02,0
T,491717,7.79,-0.70,0
T,491737,7.71,-1.26,0
T,491757,7.80,-1.52,0
T,491777,7.82,-0.71,0
T,491797,7.79,-0.74,0
T,491817,7.74,-1.34,0
T,491837,7.77,-1.60,0
T,491857,7.67,-2.18,0
T,491877,7.79,-2.29,0
T,491897,7.80,-2.27,0
T,491917,7.83,-2.32,0
T,491937,7.83,-2.35,0
T,491957,7.76,-2.81,0
T,491977,7.81,-1.87,0
T,491997,7.80,-2.27,0
T,492017,7.79,-1.09,0
T,492037,7.66,-1.91,0
T,492057,7.74,-1.86,0
T,492077,7.72,-1.98,0
T,492097,7.79,-0.89,0
T,492117,7.76,-0.80,0
T,492137,7.76,-1.55,0
T,492157,7.81,-1.05,0
T,492177,7.72,-1.64,0
T,492197,7.79,-1.72,0
T,492217,7.73,-1.96,0
T,492237,7.75,-1.83,0
T,492257,7.72,0.35,0
T,492277,7.84,0.35,0
T,492297,7.80,0.67,0
T,492317,7.75,0.07,0
T,492337,7.67,0.82,0
T,492357,7.82,0.47,0
T,492377,7.78,0.97,0
T,492397,7.87,1.56,0
T,492417,7.76,0.76,0
T,492437,7.85,0.17,0
T,492457,7.73,-0.45,0
T,492477,7.78,-0.66,0
T,492497,7.82,-1.67,0
T,492517,7.78,0.14,0
T,492537,7.72,-0.59,0
T,492557,7.81,-0.67,0
T,492577,7.78,-1.55,0
T,492597,7.72,-1.42,0
T,492617,7.79,-1.87,0
T,492637,7.76,-0.82,0
T,492657,7.74,-0.60,0
T,492677,7.76,0.62,0
T,492697,7.72,0.58,0
T,492717,7.73,-0.58,0
T,492737,7.79,-1.18,0
T,492757,7.80,-1.86,0
T,492777,7.77,-1.08,0
T,492797,7.82,-1.20,0
T,492817,7.81,-0.54,0
T,492837,7.82,-1.28,0
T,492857,7.83,-0.80,0
T,492877,7.77,-0.79,0
T,492897,7.83,-1.36,0
T,492917,7.78,-1.28,0
T,492937,7.87,0.19,0
T,492957,7.86,0.76,0
T,492977,7.83,0.18,0
T,492997,7.79,0.26,0
T,493017,7.73,-0.59,0
T,493037,7.73,-1.25,0
T,493057,7.70,-1.86,0
T,493077,7.74,-2.06,0
T,493097,7.79,-2.01,0
T,493117,7.82,-1.57,0
T,493137,7.88,-0.27,0
T,493157,7.82,0.07,0
T,493177,7.71,1.25,0
T,493197,7.76,1.39,0
T,493217,7.80,0.27,0
T,493237,7.83,-0.28,0
T,493257,7.76,-0.88,0
T,493277,7.73,-1.58,0
T,493297,7.75,-1.99,0
T,493317,7.75,-2.24,0
T,493337,7.72,-0.96,0
T,493357,7.77,-0.57,0
T,493377,7.76,0.43,0
T,493397,7.78,-0.42,0
T,493417,7.76,2.02,0
T,493437,7.79,1.44,0
T,493457,7.77,0.90,0
T,493477,7.79,0.11,0
T,493497,7.74,0.42,0
T,493517,7.84,0.27,0
T,493537,7.75,-0.03,0
T,493557,7.81,-0.97,0
T,493577,7.71,-1.45,0
T,493597,7.75,-1.73,0
T,493617,7.78,-1.88,0
T,493637,7.80,-2.35,0
T,493657,7.78,-1.88,0
T,493677,7.72,-1.91,0
T,493697,7.81,-1.98,0
T,493717,7.84,-1.80,0
T,493737,7.82,-1.97,0
T,493757,7.78,-1.03,0
T,493777,7.81,-1.92,0
T,493797,7.76,-2.06,0
T,493817,7.72,-2.56,0
T,493837,7.83,-2.73,0
T,493857,7.76,-2.41,0
T,493877,7.83,-2.95,0
T,493897,7.82,-1.90,0
T,493917,7.79,-1.55,0
T,493937,7.70,-1.30,0
T,493957,7.78,-1.35,0
T,493977,7.86,0.10,0
T,493997,7.73,-0.82,0
T,494017,7.76,-1.25,0
T,494037,7.74,-1.74,0
T,494057,7.69,-1.63,0
T,494077,7.80,-1.83,0
T,494097,7.85,-2.18,0
T,494117,7.76,-1.97,0
T,494137,7.75,-1.80,0
T,494157,7.71,-2.06,0
T,494177,7.71,-2.36,0
T,494197,7.73,-2.95,0
T,494217,7.76,-3.37,0
T,494237,7.79,-3.54,0
T,494257,7.79,-2.56,0
T,494277,7.74,-2.36,0
T,494297,7.79,-2.05,0
T,494317,7.74,-2.12,0
T,494337,7.74,-2.73,0
T,494357,7.80,-1.71,0
T,494377,7.76,-2.64,0
T,494397,7.84,-2.87,0
T,494417,7.78,-2.67,0
T,494437,7.81,-3.02,0
T,494457,7.78,-2.43,0
T,494477,7.76,-1.61,0
T,494497,7.82,-1.14,0
T,494517,7.80,-0.76,0
T,494537,7.79,-0.62,0
T,494557,7.71,-1.16,0
T,494577,7.76,-0.95,0
T,494597,7.76,-0.86,0
T,494617,7.73,-0.21,0
T,494637,7.72,-0.05,0
T,494657,7.74,-0.89,0
T,494677,7.78,-0.58,0
T,494697,7.83,-0.50,0
T,494717,7.75,-0.26,0
T,494737,7.75,0.62,0
T,494757,7.77,1.39,0
T,494777,7.82,1.63,0
T,494797,7.76,1.21,0
T,494817,7.75,1.31,0
T,494837,7.75,0.62,0
T,494857,7.74,1.16,0
T,494877,7.71,0.22,0
T,494897,7.78,0.42,0
T,494917,7.85,0.07,0
T,494937,7.78,0.23,0
T,494957,7.84,-0.08,0
T,494977,7.69,-1.07,0
T,494997,7.79,-1.39,0
